#Date        Time         gpu     sm    mem    enc    dec    jpg    ofa   mclk   pclk     fb   bar1   ccpm 
#YYYYMMDD    HH:MM:SS     Idx      %      %      %      %      %      %    MHz    MHz     MB     MB     MB 
 20260615    13:46:02       0    100     52      0      0      0      0  12481   2400  91763  91764      0 
 20260615    13:46:02       1    100     49      0      0      0      0  12481   2407  91769  91770      0 
 20260615    13:46:03       0    100     53      0      0      0      0  12481   2400  91763  91764      0 
 20260615    13:46:03       1    100     49      0      0      0      0  12481   2407  91769  91770      0 
 20260615    13:46:04       0    100     52      0      0      0      0  12481   2400  91763  91764      0 
 20260615    13:46:04       1    100     49      0      0      0      0  12481   2407  91769  91770      0 
 20260615    13:46:05       0    100     52      0      0      0      0  12481   2400  91763  91764      0 
 20260615    13:46:05       1    100     49      0      0      0      0  12481   2407  91769  91770      0 
 20260615    13:46:06       0    100     52      0      0      0      0  12481   2400  91763  91764      0 
 20260615    13:46:06       1    100     49      0      0      0      0  12481   2407  91769  91770      0 
 20260615    13:46:07       0    100     53      0      0      0      0  12481   2400  91763  91764      0 
 20260615    13:46:07       1    100     49      0      0      0      0  12481   2407  91769  91770      0 
 20260615    13:46:08       0    100     52      0      0      0      0  12481   2400  91763  91764      0 
 20260615    13:46:08       1    100     49      0      0      0      0  12481   2407  91769  91770      0 
 20260615    13:46:09       0    100     52      0      0      0      0  12481   2400  91763  91764      0 
 20260615    13:46:09       1    100     49      0      0      0      0  12481   2407  91769  91770      0 
 20260615    13:46:10       0    100     52      0      0      0      0  12481   2392  91763  91764      0 
 20260615    13:46:10       1    100     48      0      0      0      0  12481   2407  91769  91770      0 
 20260615    13:46:11       0    100     53      0      0      0      0  12481   2400  91763  91764      0 
 20260615    13:46:11       1    100     49      0      0      0      0  12481   2407  91769  91770      0 
 20260615    13:46:12       0    100     52      0      0      0      0  12481   2400  91763  91764      0 
 20260615    13:46:12       1    100     49      0      0      0      0  12481   2407  91769  91770      0 
 20260615    13:46:13       0    100     52      0      0      0      0  12481   2400  91763  91764      0 
 20260615    13:46:13       1    100     49      0      0      0      0  12481   2407  91769  91770      0 
 20260615    13:46:14       0    100     53      0      0      0      0  12481   2400  91763  91764      0 
 20260615    13:46:14       1    100     49      0      0      0      0  12481   2407  91769  91770      0 
 20260615    13:46:15       0    100     52      0      0      0      0  12481   2392  91763  91764      0 
 20260615    13:46:15       1    100     49      0      0      0      0  12481   2407  91769  91770      0 
 20260615    13:46:16       0    100     53      0      0      0      0  12481   2392  91763  91764      0 
 20260615    13:46:16       1    100     49      0      0      0      0  12481   2407  91769  91770      0 
#Date        Time         gpu     sm    mem    enc    dec    jpg    ofa   mclk   pclk     fb   bar1   ccpm 
#YYYYMMDD    HH:MM:SS     Idx      %      %      %      %      %      %    MHz    MHz     MB     MB     MB 
 20260615    13:46:17       0    100     52      0      0      0      0  12481   2400  91763  91764      0 
 20260615    13:46:17       1    100     49      0      0      0      0  12481   2407  91769  91770      0 
 20260615    13:46:18       0    100     52      0      0      0      0  12481   2400  91763  91764      0 
 20260615    13:46:18       1    100     48      0      0      0      0  12481   2407  91769  91770      0 
 20260615    13:46:19       0    100     53      0      0      0      0  12481   2400  91763  91764      0 
 20260615    13:46:19       1    100     49      0      0      0      0  12481   2407  91769  91770      0 
 20260615    13:46:20       0    100     52      0      0      0      0  12481   2392  91763  91764      0 
 20260615    13:46:20       1    100     48      0      0      0      0  12481   2407  91769  91770      0 
 20260615    13:46:21       0    100     52      0      0      0      0  12481   2400  91763  91764      0 
 20260615    13:46:21       1    100     49      0      0      0      0  12481   2407  91769  91770      0 
 20260615    13:46:22       0    100     52      0      0      0      0  12481   2400  91763  91764      0 
 20260615    13:46:22       1    100     49      0      0      0      0  12481   2407  91769  91770      0 
 20260615    13:46:23       0    100     53      0      0      0      0  12481   2392  91763  91764      0 
 20260615    13:46:23       1    100     48      0      0      0      0  12481   2407  91769  91770      0 
 20260615    13:46:24       0    100     52      0      0      0      0  12481   2400  91763  91764      0 
 20260615    13:46:24       1    100     49      0      0      0      0  12481   2407  91769  91770      0 
 20260615    13:46:25       0    100     53      0      0      0      0  12481   2400  91763  91764      0 
 20260615    13:46:25       1    100     49      0      0      0      0  12481   2407  91769  91770      0 
 20260615    13:46:26       0    100     52      0      0      0      0  12481   2392  91763  91764      0 
 20260615    13:46:26       1    100     49      0      0      0      0  12481   2407  91769  91770      0 
 20260615    13:46:27       0    100     52      0      0      0      0  12481   2392  91763  91764      0 
 20260615    13:46:27       1    100     48      0      0      0      0  12481   2407  91769  91770      0 
 20260615    13:46:28       0    100     53      0      0      0      0  12481   2392  91763  91764      0 
 20260615    13:46:28       1    100     49      0      0      0      0  12481   2407  91769  91770      0 
 20260615    13:46:29       0    100     52      0      0      0      0  12481   2392  91763  91764      0 
 20260615    13:46:29       1    100     49      0      0      0      0  12481   2407  91769  91770      0 
 20260615    13:46:30       0    100     53      0      0      0      0  12481   2392  91763  91764      0 
 20260615    13:46:30       1    100     49      0      0      0      0  12481   2407  91769  91770      0 
 20260615    13:46:31       0    100     52      0      0      0      0  12481   2392  91763  91764      0 
 20260615    13:46:31       1    100     49      0      0      0      0  12481   2407  91769  91770      0 
 20260615    13:46:32       0    100     52      0      0      0      0  12481   2392  91763  91764      0 
 20260615    13:46:32       1    100     48      0      0      0      0  12481   2407  91769  91770      0 
 20260615    13:46:33       0    100     53      0      0      0      0  12481   2392  91763  91764      0 
 20260615    13:46:33       1    100     49      0      0      0      0  12481   2407  91769  91770      0 
 20260615    13:46:34       0    100     53      0      0      0      0  12481   2392  91763  91764      0 
 20260615    13:46:34       1    100     48      0      0      0      0  12481   2407  91769  91770      0 
 20260615    13:46:35       0    100     52      0      0      0      0  12481   2392  91763  91764      0 
 20260615    13:46:35       1    100     49      0      0      0      0  12481   2407  91769  91770      0 
 20260615    13:46:36       0    100     52      0      0      0      0  12481   2392  91763  91764      0 
 20260615    13:46:36       1    100     49      0      0      0      0  12481   2407  91769  91770      0 
 20260615    13:46:37       0    100     53      0      0      0      0  12481   2392  91763  91764      0 
 20260615    13:46:37       1    100     49      0      0      0      0  12481   2407  91769  91770      0 
 20260615    13:46:38       0    100     53      0      0      0      0  12481   2392  91763  91764      0 
 20260615    13:46:38       1    100     50      0      0      0      0  12481   2407  91769  91770      0 
#Date        Time         gpu     sm    mem    enc    dec    jpg    ofa   mclk   pclk     fb   bar1   ccpm 
#YYYYMMDD    HH:MM:SS     Idx      %      %      %      %      %      %    MHz    MHz     MB     MB     MB 
 20260615    13:46:39       0    100     52      0      0      0      0  12481   2392  91763  91764      0 
 20260615    13:46:39       1    100     49      0      0      0      0  12481   2407  91769  91770      0 
 20260615    13:46:40       0    100     52      0      0      0      0  12481   2392  91763  91764      0 
 20260615    13:46:40       1    100     49      0      0      0      0  12481   2407  91769  91770      0 
 20260615    13:46:41       0    100     53      0      0      0      0  12481   2392  91763  91764      0 
 20260615    13:46:41       1    100     49      0      0      0      0  12481   2407  91769  91770      0 
 20260615    13:46:42       0    100     52      0      0      0      0  12481   2392  91763  91764      0 
 20260615    13:46:42       1    100     49      0      0      0      0  12481   2407  91769  91770      0 
 20260615    13:46:43       0    100     53      0      0      0      0  12481   2392  91763  91764      0 
 20260615    13:46:43       1    100     49      0      0      0      0  12481   2407  91769  91770      0 
 20260615    13:46:44       0    100     53      0      0      0      0  12481   2392  91763  91764      0 
 20260615    13:46:44       1    100     49      0      0      0      0  12481   2407  91769  91770      0 
 20260615    13:46:45       0    100     51      0      0      0      0  12481   2392  91763  91764      0 
 20260615    13:46:45       1    100     49      0      0      0      0  12481   2407  91769  91770      0 
 20260615    13:46:46       0    100     53      0      0      0      0  12481   2400  91763  91764      0 
 20260615    13:46:46       1    100     49      0      0      0      0  12481   2407  91769  91770      0 
 20260615    13:46:47       0    100     53      0      0      0      0  12481   2392  91763  91764      0 
 20260615    13:46:47       1    100     49      0      0      0      0  12481   2407  91769  91770      0 
 20260615    13:46:48       0    100     53      0      0      0      0  12481   2392  91763  91764      0 
